# y+ ()       
# Time        	patch         	min           	max           	average       
0.0096        	back	2.761799e+00	1.961727e+03	1.359762e+02
0.0096        	carMirror	5.598732e-02	2.377474e+02	2.834243e+01
0.00968       	back	2.805682e+00	2.000696e+03	1.356193e+02
0.00968       	carMirror	5.063761e-02	2.573693e+02	2.839776e+01
0.00976       	back	2.845824e+00	2.028320e+03	1.353087e+02
0.00976       	carMirror	4.423791e-02	2.507631e+02	2.846260e+01
0.00984       	back	2.857568e+00	2.040177e+03	1.352720e+02
0.00984       	carMirror	4.355760e-02	2.231546e+02	2.853057e+01
0.00992       	back	2.934506e+00	2.033051e+03	1.356615e+02
0.00992       	carMirror	4.520686e-02	2.083671e+02	2.861651e+01
0.01          	back	3.156365e+00	2.013696e+03	1.363038e+02
0.01          	carMirror	4.408459e-02	2.069590e+02	2.871063e+01
